Code ,Name,Level,Kebab Case
968,South Africa & southern Africa,3,968-south-africa-and-southern-africa
969,South Indian Ocean islands,3,969-south-indian-ocean-islands
970,History of North America,3,970-history-of-north-america
971,Canada,3,971-canada
972,"Mexico, Central America, West Indies",3,972-mexico-central-america-west-indies
973,United States,3,973-united-states
974,Northeastern United States,3,974-northeastern-united-states
975,Southeastern United States,3,975-southeastern-united-states
976,South central United States,3,976-south-central-united-states
977,North central United States,3,977-north-central-united-states
978,Western United States,3,978-western-united-states
979,Great Basin & Pacific Slope region,3,979-great-basin-and-pacific-slope-region
980,History of South America,3,980-history-of-south-america
981,Brazil,3,981-brazil
982,Argentina,3,982-argentina
983,Chile,3,983-chile
984,Bolivia,3,984-bolivia
985,Peru,3,985-peru
986,Colombia and Ecuador,3,986-colombia-and-ecuador
987,Venezuela,3,987-venezuela
988,Guiana,3,988-guiana
989,Paraguay and Uruguay,3,989-paraguay-and-uruguay
990,History of other areas,3,990-history-of-other-areas
991,[Unassigned],3,991-[unassigned]
992,[Unassigned],3,992-[unassigned]
993,New Zealand,3,993-new-zealand
994,Australia,3,994-australia
995,New Guinea & Melanesia,3,995-new-guinea-and-melanesia
996,Polynesia & Pacific Ocean islands,3,996-polynesia-and-pacific-ocean-islands
997,Atlantic Ocean islands,3,997-atlantic-ocean-islands
998,Arctic islands and Antarctica,3,998-arctic-islands-and-antarctica
999,Extraterrestrial worlds,3,999-extraterrestrial-worlds
